Provincias,Casos,Tasa de incidencia,Muertes,Letalidad
Neuquen,175878,24743,2610,1.48
Buenos Aires,3894533,22140,60676,1.56
Cordoba,1097455,28566,7954,0.73
Tucuman,373975,21970,3715,1
Capital Federal,1231099,39460,12783,1.04
La Pampa,116189,31749,1189,1.02
San Luis,140702,28720,1633,1.16
Chubut,122978,20754,1672,1.36
Rio Negro,155853,20466,2666,1.71
San Juan,160255,19563,1265,0.79
Santa Cruz,95930,28450,1105,1.15
Santiago del Estero,129690,12225,1373,1.06
Salta,168985,11728,3517,2.08
Jujuy,126508,15577,1692,1.34
Formosa,132573,21833,1313,1
Chaco,185351,16399,2714,1.46
Misiones,85098,6648,933,1.09
Corrientes,149401,12307,1821,1.22
Catamarca,103964,24199,799,0.77
Santa Fe,780159,22014,9447,1.21
Mendoza,291191,14240,5035,1.73
Entre Rios,213201,14949,2919,1.37
Tierra del Fuego,49540,26676,586,1.18
La Rioja,63617,19669,1046,1.64